Fecha(dd/mm/año), Venta al final del dia ($COP) 
8/03/2023,166794.19
9/03/2023,162863.09
10/03/2023,165215.97
11/03/2023,157504.97
12/03/2023,177401.24
13/03/2023,158278.12
14/03/2023,156175.03
15/03/2023,154941.05
16/03/2023,155458.16
17/03/2023,134870.22
18/03/2023,164270.71
19/03/2023,150527.24
20/03/2023,180303.90
21/03/2023,151362.86
22/03/2023,158936.37
23/03/2023,156277.75
24/03/2023,142975.87
25/03/2023,167648.40
26/03/2023,181572.05
27/03/2023,152291.28
28/03/2023,147933.86
29/03/2023,147101.88
30/03/2023,123654.99
31/03/2023,149804.71
1/04/2023,159915.57
2/04/2023,172454.22
3/04/2023,170976.74
4/04/2023,149502.61
5/04/2023,151681.56
6/04/2023,173532.92
7/04/2023,153293.96
8/04/2023,148043.54
9/04/2023,177723.29
10/04/2023,172186.34
11/04/2023,156293.15
12/04/2023,146737.07
13/04/2023,124614.67
14/04/2023,165199.38
15/04/2023,142016.63
16/04/2023,125381.38
17/04/2023,180723.20
18/04/2023,166108.30
19/04/2023,138231.47
20/04/2023,137055.34
21/04/2023,169587.00
22/04/2023,142303.66
23/04/2023,176219.94
24/04/2023,165616.77
25/04/2023,164370.91
26/04/2023,162313.25
27/04/2023,158986.63
28/04/2023,169735.97
29/04/2023,148916.35
30/04/2023,157340.85
1/05/2023,163985.10
2/05/2023,161103.19
3/05/2023,134291.12
4/05/2023,144884.58
5/05/2023,156372.34
6/05/2023,146293.76
7/05/2023,179583.16
8/05/2023,146520.42
9/05/2023,150042.56
10/05/2023,164251.75
11/05/2023,157557.84
12/05/2023,150300.98
13/05/2023,140978.87
14/05/2023,157115.25
15/05/2023,168364.61
16/05/2023,159823.66
17/05/2023,140648.07
18/05/2023,179005.37
19/05/2023,130453.94
20/05/2023,128378.07
21/05/2023,167166.76
22/05/2023,155961.10
23/05/2023,144135.89
24/05/2023,135761.63
25/05/2023,187912.72
26/05/2023,154302.49
27/05/2023,160664.12
28/05/2023,157364.94
29/05/2023,159148.21
30/05/2023,160754.00
31/05/2023,163687.35
1/06/2023,137634.32
2/06/2023,138829.52
3/06/2023,118103.37
4/06/2023,131841.65
5/06/2023,146876.91
6/06/2023,157943.83
7/06/2023,151566.27
8/06/2023,138128.10
9/06/2023,124936.63
10/06/2023,103283.76
11/06/2023,159469.80
12/06/2023,134574.03
13/06/2023,136586.95
14/06/2023,144881.51
15/06/2023,122900.49
16/06/2023,137998.11
17/06/2023,171935.65
18/06/2023,150227.03
19/06/2023,148137.26
20/06/2023,120370.33
21/06/2023,175083.51
22/06/2023,122654.03
23/06/2023,170489.24
24/06/2023,112754.70
25/06/2023,163096.73
26/06/2023,166138.18
27/06/2023,131210.95
28/06/2023,149042.90
29/06/2023,150828.97
30/06/2023,131362.74
1/07/2023,111161.47
2/07/2023,112869.67
3/07/2023,137033.11
4/07/2023,128893.50
5/07/2023,122664.09
6/07/2023,142567.98
7/07/2023,136604.88
8/07/2023,120178.98
9/07/2023,114384.38
10/07/2023,136802.40
11/07/2023,123011.42
12/07/2023,131289.66
13/07/2023,150491.89
14/07/2023,136530.27
15/07/2023,118790.53
16/07/2023,132088.60
17/07/2023,117615.62
18/07/2023,150910.79
19/07/2023,122699.48
20/07/2023,132694.52
21/07/2023,134000.52
22/07/2023,132070.26
23/07/2023,104538.86
24/07/2023,111196.53
25/07/2023,124119.45
26/07/2023,134152.61
27/07/2023,128208.87
28/07/2023,117557.08
29/07/2023,112470.48
30/07/2023,124779.75
31/07/2023,123909.81
1/08/2023,123000.19
2/08/2023,113182.07
3/08/2023,124051.68
4/08/2023,110042.60
5/08/2023,114005.30
6/08/2023,112927.86
7/08/2023,107846.31
8/08/2023,124313.89
9/08/2023,107480.93
10/08/2023,110896.79
11/08/2023,116144.50
12/08/2023,101820.66
13/08/2023,113198.26
14/08/2023,108677.72
15/08/2023,112458.60
16/08/2023,116298.84
17/08/2023,107641.01
18/08/2023,114425.11
19/08/2023,132311.42
20/08/2023,116698.16
21/08/2023,130399.57
22/08/2023,121053.98
23/08/2023,126057.68
24/08/2023,107938.83
25/08/2023,118227.41
26/08/2023,118566.78
27/08/2023,109832.28
28/08/2023,107372.91
29/08/2023,99563.89
30/08/2023,134504.83
31/08/2023,105622.89
1/09/2023,121952.97
2/09/2023,102458.57
3/09/2023,98212.97
4/09/2023,114174.38
5/09/2023,100699.08
6/09/2023,113593.33
7/09/2023,103906.17
8/09/2023,112647.10
9/09/2023,97076.95
10/09/2023,116418.98
11/09/2023,112728.23
12/09/2023,97598.63
13/09/2023,135890.50
14/09/2023,113288.76
15/09/2023,132102.04
16/09/2023,124683.55
17/09/2023,105453.68
18/09/2023,103052.11
19/09/2023,103146.83
20/09/2023,87813.58
21/09/2023,100004.27
22/09/2023,110135.66
23/09/2023,123884.84
24/09/2023,99177.33
25/09/2023,116963.98
26/09/2023,94020.05
27/09/2023,101181.38
28/09/2023,102564.47
29/09/2023,111479.69
30/09/2023,112398.66
1/10/2023,114008.35
2/10/2023,112016.70
3/10/2023,106528.95
4/10/2023,108059.80
5/10/2023,120520.72
6/10/2023,98686.37
7/10/2023,112057.17
8/10/2023,85195.30
9/10/2023,108277.88
10/10/2023,98974.20
11/10/2023,104026.74
12/10/2023,114816.90
13/10/2023,105712.30
14/10/2023,113205.95
15/10/2023,119327.15
16/10/2023,108046.58
17/10/2023,116178.83
18/10/2023,100603.77
19/10/2023,103914.62
20/10/2023,98564.76
21/10/2023,114846.97
22/10/2023,108306.55
23/10/2023,98724.76
24/10/2023,105608.56
25/10/2023,114832.31
26/10/2023,103591.61
27/10/2023,94131.10
28/10/2023,105371.88
29/10/2023,83402.12
30/10/2023,111995.21
31/10/2023,99618.19
1/11/2023,102439.03
2/11/2023,116895.61
3/11/2023,92810.11
4/11/2023,128411.41
5/11/2023,102321.54
6/11/2023,101859.26
7/11/2023,118459.80
8/11/2023,115100.63
9/11/2023,133829.98
10/11/2023,105213.23
11/11/2023,106189.17
12/11/2023,91583.16
13/11/2023,103913.79
14/11/2023,99729.16
15/11/2023,102659.84
16/11/2023,88736.23
17/11/2023,125332.10
18/11/2023,92257.21
19/11/2023,77364.33
20/11/2023,94709.76
21/11/2023,100993.07
22/11/2023,95127.55
23/11/2023,119288.27
24/11/2023,106001.80
25/11/2023,107756.19
26/11/2023,114044.03
27/11/2023,110557.50
28/11/2023,118001.31
29/11/2023,95558.30
30/11/2023,101598.43
1/12/2023,124791.82
2/12/2023,87345.71
3/12/2023,100910.34
4/12/2023,122861.61
5/12/2023,111381.09
6/12/2023,127952.46
7/12/2023,126467.41
8/12/2023,102982.31
9/12/2023,121757.89
10/12/2023,131059.86
11/12/2023,118724.98
12/12/2023,105563.66
13/12/2023,127288.86
14/12/2023,124434.47
15/12/2023,123348.55
16/12/2023,125376.49
17/12/2023,81963.03
18/12/2023,127306.97
19/12/2023,138155.14
20/12/2023,122108.67
21/12/2023,119254.93
22/12/2023,125148.33
23/12/2023,120957.24
24/12/2023,124625.84
25/12/2023,117017.21
26/12/2023,108029.55
27/12/2023,105249.42
28/12/2023,105321.16
29/12/2023,100935.40
30/12/2023,104507.42
31/12/2023,137606.81
